"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"","
"Aruba,""ABW"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.0358352296142338"",""0.0352845700575138"",""0.0347977381470204"",""0.0343772560074255"",""0.0340240209587969"",""0.0337319323337437"",""0.0336010214710527"",""0.033629836390846"",""0.0337097589752233"",""0.0338375122660982"",""0.0340043525571273"",""0.0339818197264464"",""0.0336898846121452"",""0.033317785033651"",""0.0329407889318949"",""0.0326834768682692"",""0.0325388432441227"",""0.032394959344326"",""0.0322549430700255"",""0.032119742399666"",""0.0319417382693966"",""0.0316876861651562"",""0.0314055556427932"",""0.0311652694237542"",""0.031018331834114"",""0.0309822936191966"",""0.0310318076027929"",""0.0310887272275073"",""0.0309616694532169"",""0.0304358412466521"",""0.0294707061181186"",""0.0284932755869615"",""0.0276395798783858"",""0.0267701780216838"",""0.0259571706683971"",""0.0251835249379856"",""0.0244325539348628"",""0.0237093236915417"",""0.0230237029021377"",""0.0224464371892571"",""0.0220529049189004"",""0.0217910024950698"",""0.0215747402940637"",""0.021381227282446"",""0.0211678291332832"",""0.0209191891722277"",""0.0206639321396469"",""0.0204089962855627"",""0.0201588517518042"",""0.0199320317716586"",""0.0197456756970224"",""0.0195863365716076"",""0.0194401244167963"",""0.0193061374210862"",""0.0191833641865774"",""0.0190705036520014"",""0.0189683134324112"",""0.0188746909269361"",""0.0187895755434885"",""0.0187643664680771"",""0.0187728207101758"","""","""","
"Africa Eastern and Southern,""AFE"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.526315175050178"",""0.517795848557098"",""0.515651423331648"",""0.506797849620938"",""0.498085642272362"",""0.48717434714771"",""0.475779220041743"",""0.466112425908048"",""0.458327515720495"",""0.452369384960169"",""0.443848009756288"",""0.43470083578234"",""0.424143977433142"",""0.413370547506605"",""0.404733977549553"",""0.393868272973164"",""0.383698648741251"",""0.377836672440761"",""0.364737361173429"",""0.353663625735184"",""0.343916817797114"",""0.334337391889541"",""0.325839237779938"",""0.317008608362199"",""0.315709633693597"",""0.308055239906026"",""0.298869332627464"",""0.291275350226136"",""0.284826393965512"",""0.276266646483815"",""0.269267825824322"",""0.263491882967761"",""0.261016885294649"",""0.256187081755644"",""0.253997708020592"",""0.248619142088712"",""0.243318011351314"",""0.236798330829203"",""0.232467871276963"",""0.227064842736287"",""0.222313468627724"",""0.218896530650665"",""0.221470599880369"",""0.220844643602878"",""0.220090412763447"",""0.216944433477893"",""0.215472269488302"",""0.213005488409784"",""0.214665983580952"",""0.212969565277022"",""0.212730463980753"",""0.210629422381333"",""0.206270389908137"",""0.202752718700003"",""0.198349181844154"",""0.195054478820657"",""0.192226162521908"",""0.18863400022188"",""0.184313349979523"",""0.179936585320477"",""0.175749094736522"","""","""","
"Afghanistan,""AFG"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.870293305908666"",""0.858508155883228"",""0.846304080878278"",""0.833732919431257"",""0.81546054650284"",""0.800867042067343"",""0.783614035122772"",""0.76543407450199"",""0.748964527953672"",""0.731890749077627"",""0.717148016718082"",""0.700821573751105"",""0.683351324219967"",""0.666392639722781"",""0.650633285806669"",""0.636606038324971"",""0.623458054632739"",""0.611336607500721"",""0.609100203451789"",""0.633477516873847"",""0.709086663209384"",""0.784077458526416"",""0.794859120516017"",""0.772182981789953"",""0.752457544414258"",""0.757050668415444"",""0.766268084556472"",""0.761788459723445"",""0.741110792971684"",""0.739612050571138"",""0.736144910544434"",""0.656026867410335"",""0.558707090095803"",""0.498396854723108"",""0.46610883839319"",""0.447020578905387"",""0.432012940263207"",""0.419453016395492"",""0.3972932972992"",""0.39313345322633"",""0.390225181719075"",""0.365614590603086"",""0.343208451441877"",""0.331839559988216"",""0.319730405616014"",""0.306332474732484"",""0.300888292191022"",""0.294923423401776"",""0.284568655739371"",""0.276448764639759"",""0.26636665118246"",""0.255690852887857"",""0.246819961783963"",""0.237527513119643"",""0.230050223830128"",""0.223147990771622"",""0.216000609144723"",""0.212447076309551"",""0.206198128283354"",""0.200886631326973"",""0.195239527153756"","""","""","
"Africa Western and Central,""AFW"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.635509416655621"",""0.624653556223433"",""0.614483705633656"",""0.603274940248903"",""0.593098135440468"",""0.58209279141233"",""0.572547022832255"",""0.569030534509912"",""0.556831660310582"",""0.537484942223128"",""0.527361178041067"",""0.516582215307171"",""0.503664484638835"",""0.486607735145165"",""0.478049167969436"",""0.46981276865659"",""0.458301360135214"",""0.448626077777773"",""0.440734703806372"",""0.431856404241722"",""0.418818460167826"",""0.410487429649447"",""0.401913798626586"",""0.394343808148721"",""0.386268323687944"",""0.377417122066671"",""0.367571910481504"",""0.36218350097981"",""0.354095143704672"",""0.353252127184271"",""0.353871791574049"",""0.355041447477193"",""0.351581544535618"",""0.347912181857229"",""0.352749412871497"",""0.351874106163222"",""0.346045309757413"",""0.340387753438764"",""0.338626214633603"",""0.330240505929008"",""0.32474568696662"",""0.318812501552453"",""0.316004018104448"",""0.305612833265166"",""0.301050992268925"",""0.293015548854129"",""0.287642223593204"",""0.283959045139547"",""0.280901612586027"",""0.27330730892338"",""0.267705624692835"",""0.263896034649589"",""0.26312127145881"",""0.257496400320029"",""0.252429770091845"",""0.24867138918711"",""0.243483429870866"",""0.238572561770888"",""0.234253187811847"",""0.229069919356459"",""0.224084186571396"","""","""","
"Angola,""AGO"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.490688586785628"",""0.489006411417394"",""0.485729291279891"",""0.484735331864791"",""0.482865929572697"",""0.483839417844412"",""0.48562823562682"",""0.487372369360774"",""0.489171926389409"",""0.480952617874853"",""0.469479843854242"",""0.455635909828711"",""0.440848070073561"",""0.426314231221667"",""0.412358644523102"",""0.399076344680863"",""0.386054384412988"",""0.373154013528763"",""0.360552206840595"",""0.348137291422245"",""0.335980356502964"",""0.32412548708237"",""0.312610929718919"",""0.301527329501372"",""0.29085450143978"",""0.280665785698704"",""0.271178655584125"",""0.262199960742337"",""0.253507627694852"",""0.245167702317038"",""0.241235958942785"",""0.237482551959005"",""0.230091875685961"",""0.222848989130986"",""0.215637251565221"",""0.208574497596179"",""0.201732939747885"",""0.195225258712513"",""0.189026947870715"",""0.182993086155219"",""0.177079042240848"",""0.176979641460941"",""0.182075575488478"",""0.17580192982573"",""0.1696574446535"",""0.163671478608138"",""0.162604083352001"",""0.156743265871339"",""0.177717164376914"",""0.179762315698151"",""0.193741642057699"",""0.186594628964918"",""0.185298490434965"",""0.184677741212077"",""0.18220459453505"",""0.183400671712249"",""0.177167926990925"",""0.171295005268513"",""0.165762140508187"",""0.160581606956414"",""0.155722095791608"","""","""","
"Albania,""ALB"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.260272321966502"",""0.254774241389244"",""0.249628252471745"",""0.244193513713147"",""0.246676437198592"",""0.248097095279208"",""0.248270500885736"",""0.247246661181087"",""0.244992662229577"",""0.243973366162814"",""0.242246622602158"",""0.240735473620296"",""0.238597811169861"",""0.237008770601041"",""0.234112085215136"",""0.233879975237195"",""0.230749705794125"",""0.227178320563807"",""0.222703366755391"",""0.21893737156142"",""0.215696229277755"",""0.21154496785163"",""0.207105585169974"",""0.202793733294909"",""0.198666874440512"",""0.194863091309404"",""0.191334493231137"",""0.187758406484857"",""0.180300581515845"",""0.176173011024962"",""0.176932095420887"",""0.178008333130585"",""0.178787941698399"",""0.179888861730624"",""0.181003480787908"",""0.182131941176118"",""0.183592252406948"",""0.184431665990098"",""0.185603475063192"",""0.187113935876896"",""0.188878210480257"",""0.189445462322313"",""0.190155598601929"",""0.190951981523248"",""0.178649285220225"",""0.195151488013388"",""0.194611680673882"",""0.206968107232551"",""0.208025976944983"",""0.214897180624513"",""0.214099225697414"",""0.213453243189476"",""0.213153847960617"",""0.213076441692649"",""0.213524268208142"",""0.215673928001833"",""0.212983872735872"",""0.213281858346567"",""0.213720805650358"",""0.211286787986253"",""0.213361046440082"","""","""","
"Andorra,""AND"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.0978856695379796"",""0.0907935355002724"",""0.0844665934622857"",""0.0788022064617809"",""0.0737300007373"",""0.0687474219716761"",""0.0635122261035249"",""0.0585514374377891"",""0.0542034798634072"",""0.0503524672708963"",""0.046899915580152"",""0.0437981779957954"",""0.0409953675234698"",""0.0384571011037188"",""0.0361794500723589"",""0.0341366832798525"",""0.032311221687292"",""0.0306993307545896"",""0.0292894382285748"",""0.0280812108618124"",""0.0270365263470949"",""0.0259080781387637"",""0.0247328848436882"",""0.0237073563926887"",""0.0228263598803899"",""0.0219274202390089"",""0.0209929673559358"",""0.0201393644016595"",""0.0193652084664691"",""0.0186675129272527"",""0.0180394703611502"",""0.0174571862507201"",""0.0169044560146055"",""0.0163835050870783"",""0.0158911772184083"",""0.0155891935710166"",""0.0154602516928976"",""0.0153407173319424"",""0.0152311324346965"",""0.0151292796949937"",""0.01105868475376"",""0.0119973464692515"",""0.0116362455518422"",""0.0105286418052071"",""0.0100217974093654"",""0.00972313982623004"",""0.00985057824173575"",""0.00999276839129577"",""0.0104262579212479"",""0.0107663697758638"",""0.0109116159111199"",""0.0107022657823215"",""0.0113497835133885"",""0.0111699082671284"",""0.0112898280043487"",""0.0113041080783016"",""0.0111055432913038"",""0.0109914281524536"",""0.0103624431840509"",""0.0098957528957529"",""0.00945922008249614"","""","""","
"Arab World,""ARB"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.480146542491679"",""0.468114546726957"",""0.458200528211674"",""0.449803552583356"",""0.442222712891855"",""0.429262755865613"",""0.419974214345907"",""0.407328818400707"",""0.397919172576731"",""0.389097980007084"",""0.380624618564735"",""0.374250919482158"",""0.364501307684709"",""0.356833073460573"",""0.346256171806043"",""0.338009171140688"",""0.325821418486104"",""0.317394837161373"",""0.306380126337516"",""0.295431547581425"",""0.2880658457608"",""0.280340004620469"",""0.270706545268988"",""0.264933764718285"",""0.258647669987582"",""0.25259845384516"",""0.24772705580086"",""0.241816682341549"",""0.23625913224223"",""0.232066341692994"",""0.23021605472452"",""0.22811648369426"",""0.231923924125777"",""0.224869172484257"",""0.223491728796717"",""0.220632220043229"",""0.214057593907374"",""0.208085395324481"",""0.202246568628904"",""0.195725814353022"",""0.19069800915355"",""0.187353363199254"",""0.18985820793852"",""0.183535509266195"",""0.17992690943639"",""0.175740319628363"",""0.172709558452133"",""0.165723200486462"",""0.16185482956148"",""0.158448976791583"",""0.155232472344345"",""0.152806120029294"",""0.150045552332552"",""0.146292116652794"",""0.144197812173612"",""0.143263794589334"",""0.142093027455602"",""0.138885144467379"",""0.134379749773743"",""0.134554259244614"",""0.131529100153091"","""","""","
"United Arab Emirates,""ARE"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.0354650173069284"",""0.0335847713212921"",""0.0318459167165586"",""0.0302471189619189"",""0.0287691962461953"",""0.0328750910913982"",""0.0313473072663058"",""0.0280922549653061"",""0.023690974923103"",""0.0234833134284296"",""0.020318536600941"",""0.0178403947314766"",""0.0181181575645573"",""0.018294356191115"",""0.0202431384961924"",""0.017910146423588"",""0.016976463547996"",""0.014902555912527"",""0.0132092834844329"",""0.0157783457982265"",""0.01726990128888"",""0.0154128591196175"",""0.0185847772897254"",""0.0183439817599675"",""0.018846916644437"",""0.019745393365684"",""0.0184020777849482"",""0.0172241653852482"",""0.0161844807572105"",""0.0184195887589986"",""0.0174269549184593"",""0.0179564518240211"",""0.0179914037073086"",""0.0180333049380341"",""0.0176664798676082"",""0.0178798049546494"",""0.0163867625547181"",""0.0123239979049204"",""0.0138818806913693"",""0.0183187480479084"",""0.0205546989489311"",""0.0206403744989549"",""0.0167827341329082"",""0.0157762714360088"",""0.0158841651925149"",""0.0103287354810843"",""0.00759456079599171"",""0.0073833632507403"",""0.00624324065978667"",""0.00596573522204266"",""0.00525934948493943"",""0.0042816079318922"",""0.0042848098235721"",""0.00497965640597147"",""0.0049456655278926"",""0.00494759826347084"",""0.00490720638144145"",""0.00462792318172673"",""0.0054170492887436"",""0.00527602834368565"",""0.00537097930678062"","""","""","
"Argentina,""ARG"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.899246266546806"",""0.912448736008743"",""0.917430462632566"",""0.921298660749595"",""0.927782466593642"",""0.964508687095134"",""0.981719306408125"",""1.03193137740708"",""1.02151377801697"",""1.01091302058739"",""1.00023204855111"",""0.989526016428692"",""0.978434239834811"",""0.966885573825193"",""0.955844121313249"",""0.945559413892378"",""0.935285085075942"",""0.925030872735003"",""0.914909998624572"",""0.905019742690073"",""0.895252883738827"",""0.8856346430538"",""0.87622561722063"",""0.86708330599989"",""0.858219826307639"",""0.849444616919959"",""0.840742540480176"",""0.832008237597849"",""0.822924596292841"",""0.814243497932465"",""0.80590198147676"",""0.797925780241677"",""0.790249223857121"",""0.782807213122816"",""0.775622808947834"",""0.768931635444572"",""0.76278819859442"",""0.756902613749629"",""0.75115206706916"",""0.745600833691792"",""0.740278416295111"",""0.735435644920204"",""0.779248450892263"",""0.822223686509402"",""0.864887808835623"",""0.901351022147131"",""0.92749516120065"",""0.884851378076882"",""0.847763579193546"",""0.931712217671016"",""0.936139242669133"",""0.949431929263345"",""0.933378211728639"",""0.919056937625236"",""0.935248349217376"",""0.921361801763179"",""0.916927535459285"",""0.903679283791063"",""0.908098115940662"",""0.925776915819227"",""0.921412666013327"","""","""","
